"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","549","Create user","LMS service","Sun Jan 11 18:09:46 UTC 2026","passed","Sun Jan 11 18:09:47 UTC 2026","Create entity","Users","",""
"","286","Login with correct email and password","LMS service","Sun Jan 11 18:09:38 UTC 2026","passed","Sun Jan 11 18:09:38 UTC 2026","Login","Authentication","",""
"","558","Create user","LMS service","Sun Jan 11 18:09:47 UTC 2026","passed","Sun Jan 11 18:09:47 UTC 2026","Create entity","Users","",""
"","33","Create course","LMS service","Sun Jan 11 18:09:40 UTC 2026","passed","Sun Jan 11 18:09:40 UTC 2026","Create entity","Courses","",""
"","20","Get exercise","LMS service","Sun Jan 11 18:09:42 UTC 2026","passed","Sun Jan 11 18:09:42 UTC 2026","Get entity","Exercises","",""
"","301","Get courses","LMS service","Sun Jan 11 18:09:39 UTC 2026","passed","Sun Jan 11 18:09:40 UTC 2026","Get entities","Courses","",""
"","22","Delete exercise","LMS service","Sun Jan 11 18:09:43 UTC 2026","passed","Sun Jan 11 18:09:43 UTC 2026","Delete entity","Exercises","",""
"","13","Get user me","LMS service","Sun Jan 11 18:09:48 UTC 2026","passed","Sun Jan 11 18:09:48 UTC 2026","Get entity","Users","",""
"","20","Delete file","LMS service","Sun Jan 11 18:09:45 UTC 2026","passed","Sun Jan 11 18:09:45 UTC 2026","Delete entity","Files","",""
"","263","Create file","LMS service","Sun Jan 11 18:09:44 UTC 2026","passed","Sun Jan 11 18:09:44 UTC 2026","Create entity","Files","",""
"","309","Update course","LMS service","Sun Jan 11 18:09:39 UTC 2026","passed","Sun Jan 11 18:09:39 UTC 2026","Update entity","Courses","",""
"","273","Create exercise","LMS service","Sun Jan 11 18:09:41 UTC 2026","passed","Sun Jan 11 18:09:41 UTC 2026","Create entity","Exercises","",""
"","289","Get exercises","LMS service","Sun Jan 11 18:09:43 UTC 2026","passed","Sun Jan 11 18:09:43 UTC 2026","Get entities","Exercises","",""
"","266","Create file with empty filename","LMS service","Sun Jan 11 18:09:45 UTC 2026","passed","Sun Jan 11 18:09:46 UTC 2026","Validate entity","Files","",""
"","14","Get file","LMS service","Sun Jan 11 18:09:44 UTC 2026","passed","Sun Jan 11 18:09:44 UTC 2026","Get entity","Files","",""
"","290","Update exercise","LMS service","Sun Jan 11 18:09:41 UTC 2026","passed","Sun Jan 11 18:09:42 UTC 2026","Update entity","Exercises","",""
"","271","Create file with empty directory","LMS service","Sun Jan 11 18:09:46 UTC 2026","passed","Sun Jan 11 18:09:46 UTC 2026","Validate entity","Files","",""
"","271","Get file with incorrect file id","LMS service","Sun Jan 11 18:09:47 UTC 2026","passed","Sun Jan 11 18:09:47 UTC 2026","Validate entity","Files","",""
"","290","Create user","LMS service","Sun Jan 11 18:09:47 UTC 2026","passed","Sun Jan 11 18:09:47 UTC 2026","Create entity","Users","",""
