"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24","Update exercise","LMS service","Sun Jan 11 18:13:11 UTC 2026","passed","Sun Jan 11 18:13:11 UTC 2026","Update entity","Exercises","",""
"","558","Create user","LMS service","Sun Jan 11 18:13:16 UTC 2026","passed","Sun Jan 11 18:13:17 UTC 2026","Create entity","Users","",""
"","20","Delete file","LMS service","Sun Jan 11 18:13:14 UTC 2026","passed","Sun Jan 11 18:13:14 UTC 2026","Delete entity","Files","",""
"","17","Create file","LMS service","Sun Jan 11 18:13:13 UTC 2026","passed","Sun Jan 11 18:13:13 UTC 2026","Create entity","Files","",""
"","261","Create file with empty filename","LMS service","Sun Jan 11 18:13:15 UTC 2026","passed","Sun Jan 11 18:13:15 UTC 2026","Validate entity","Files","",""
"","38","Get courses","LMS service","Sun Jan 11 18:13:09 UTC 2026","passed","Sun Jan 11 18:13:09 UTC 2026","Get entities","Courses","",""
"","290","Get exercises","LMS service","Sun Jan 11 18:13:13 UTC 2026","passed","Sun Jan 11 18:13:13 UTC 2026","Get entities","Exercises","",""
"","26","Create exercise","LMS service","Sun Jan 11 18:13:10 UTC 2026","passed","Sun Jan 11 18:13:11 UTC 2026","Create entity","Exercises","",""
"","270","Get file with incorrect file id","LMS service","Sun Jan 11 18:13:16 UTC 2026","passed","Sun Jan 11 18:13:16 UTC 2026","Validate entity","Files","",""
"","32","Update course","LMS service","Sun Jan 11 18:13:08 UTC 2026","passed","Sun Jan 11 18:13:08 UTC 2026","Update entity","Courses","",""
"","12","Get user me","LMS service","Sun Jan 11 18:13:17 UTC 2026","passed","Sun Jan 11 18:13:17 UTC 2026","Get entity","Users","",""
"","34","Create course","LMS service","Sun Jan 11 18:13:09 UTC 2026","passed","Sun Jan 11 18:13:09 UTC 2026","Create entity","Courses","",""
"","527","Create user","LMS service","Sun Jan 11 18:13:15 UTC 2026","passed","Sun Jan 11 18:13:16 UTC 2026","Create entity","Users","",""
"","24","Get exercise","LMS service","Sun Jan 11 18:13:12 UTC 2026","passed","Sun Jan 11 18:13:12 UTC 2026","Get entity","Exercises","",""
"","292","Delete exercise","LMS service","Sun Jan 11 18:13:12 UTC 2026","passed","Sun Jan 11 18:13:12 UTC 2026","Delete entity","Exercises","",""
"","18","Create file with empty directory","LMS service","Sun Jan 11 18:13:15 UTC 2026","passed","Sun Jan 11 18:13:15 UTC 2026","Validate entity","Files","",""
"","530","Create user","LMS service","Sun Jan 11 18:13:16 UTC 2026","passed","Sun Jan 11 18:13:16 UTC 2026","Create entity","Users","",""
"","550","Login with correct email and password","LMS service","Sun Jan 11 18:13:08 UTC 2026","passed","Sun Jan 11 18:13:08 UTC 2026","Login","Authentication","",""
"","16","Get file","LMS service","Sun Jan 11 18:13:14 UTC 2026","passed","Sun Jan 11 18:13:14 UTC 2026","Get entity","Files","",""
